nr;zadania;Czas;Maszyna;Wymaga;Następnik
1;Wycięcie prostej deski z kawałka tarcicy;1;1;;2
2;Zmniejszenie grubości na grubościówce;1;2;1;3,4,5
3;Sklejenie utworzonych kawałków w element będący siedziskiem;2;3;2;6
4;Sklejenie utworzonych kawałków w elementy będące nogami i tralkami;2;3;2;7
5;Sklejenie utworzonych kawałków w element będący górą oparcia;2;3;2;8
6;Załadowanie elementów siedziskowych do prasy;5;4;3;9
7;Załadowanie nóg i tralek do prasy;5;4;4;10
8;Załadowanie góry oparcia do prasy;5;4;5;11
9;Wycięcie elementów będących siedziskiem;1;1;6;12
10;Pocięcie elementów będących nogami i tralkami;1;1;7;15
11;Wycięcie elementów będących górą oparcia;1;1;8;17
12;Frezowanie pionowe siedziska;1;5;9;13
13;Frezowanie poziome siedziska;1;5;12;16
14;Wytłoczenie tralek;1;8;10;18
15;Frezowanie pionowe nóg;1;5;10;19
16;Szlifowanie powierzchni siedziska;2;9;9;19
17;Szlifowanie elementów będących górą oparcia;2;9;11;19
18;Szlifowanie tralek;1;9;14;19
19;Położenie podkładu na wszystkie elementy;2;7;16,17,18;20,21,22
20;Szlifowanie końcowe powierzchni siedziska;2;9;19;23
21;Szlifowanie końcowe góry siedziska;2;9;19;23
22;Szlifowanie końcowe tralek;2;9;19;23
23;Montaż krzesła;2;11;20,21,22;24
24;Lakierowanie krzesła;5;7;23;
